dsr_section,dsr_title,template_section,template_title,required_sources,status,notes
1.1,OBJECTIVES OF REPORT,1,Introduction,Signal assessment,NOT VERIFIED,
1.2,BACKGROUND,2,Background,,NOT VERIFIED,Parent section - sources in subsections
1.2.1,Drug Background – Pralsetinib,2.1,Product Background,IB,NOT VERIFIED,
1.2.1.1,Therapeutic Indications,2.1.2,Therapeutic Indications,IB 6.1,NOT VERIFIED,
1.2.1.2,Relevant Information in the core RMP,,,N/A,NOT MAPPED,No template analog identified
1.2.1.3,Patient Exposure,2.1.3,Patient exposure,PBRER Section 5,NOT VERIFIED,
1.2.2,Background on Severe Infection,2.2,Event of Interest,UpToDate,NOT VERIFIED,
1.2.2.1,The Epidemiological Triad: Agent–Host–Environment,2.2,Event of Interest,UpToDate,NOT VERIFIED,Subsection of template 2.2
1.2.2.3,Common Types of Infections in Solid Tumor Patients and Their Management,2.2,Event of Interest,UpToDate,NOT VERIFIED,Subsection of template 2.2
1.2.2.4,Treatment recommendations,2.2,Event of Interest,UpToDate,NOT VERIFIED,Subsection of template 2.2
