section_num,title,heading_full,page_start,page_end,file
1.1,OBJECTIVES OF REPORT,1.1 OBJECTIVES OF REPORT,12,12,/mnt/data/dsr_extracted/dsr_sections/1.1_OBJECTIVES_OF_REPORT.md
1.2,BACKGROUND,1.2 BACKGROUND,12,12,/mnt/data/dsr_extracted/dsr_sections/1.2_BACKGROUND.md
1.2.1,Drug Background – Pralsetinib,1.2.1 Drug Background – Pralsetinib,12,12,/mnt/data/dsr_extracted/dsr_sections/1.2.1_Drug_Background_Pralsetinib.md
1.2.1.1,Therapeutic Indications,1.2.1.1 Therapeutic Indications,12,13,/mnt/data/dsr_extracted/dsr_sections/1.2.1.1_Therapeutic_Indications.md
1.2.1.2,Relevant Information in the core RMP,1.2.1.2 Relevant Information in the core RMP,13,13,/mnt/data/dsr_extracted/dsr_sections/1.2.1.2_Relevant_Information_in_the_core_RMP.md
1.2.1.3,Patient Exposure,1.2.1.3 Patient Exposure,13,13,/mnt/data/dsr_extracted/dsr_sections/1.2.1.3_Patient_Exposure.md
1.2.2,Background on Severe Infection,1.2.2 Background on Severe Infection,13,13,/mnt/data/dsr_extracted/dsr_sections/1.2.2_Background_on_Severe_Infection.md
1.2.2.1,The Epidemiological Triad: Agent–Host–Environment,1.2.2.1 The Epidemiological Triad: Agent–Host–Environment,13,16,/mnt/data/dsr_extracted/dsr_sections/1.2.2.1_The_Epidemiological_Triad_AgentHostEnvironment.md
1.2.2.3,Common Types of Infections in Solid Tumor Patients and Their,1.2.2.3 Common Types of Infections in Solid Tumor Patients and Their,16,18,/mnt/data/dsr_extracted/dsr_sections/1.2.2.3_Common_Types_of_Infections_in_Solid_Tumor_Patients_and_Their.md
1.2.2.4,Treatment recommendations,1.2.2.4 Treatment recommendations,18,19,/mnt/data/dsr_extracted/dsr_sections/1.2.2.4_Treatment_recommendations.md
2,METHODOLOGY OF ANALYSIS OF DATA,2 METHODOLOGY OF ANALYSIS OF DATA,19,19,/mnt/data/dsr_extracted/dsr_sections/2_METHODOLOGY_OF_ANALYSIS_OF_DATA.md
2.1,RELEVANT TOXICOLOGY INFORMATION,2.1 RELEVANT TOXICOLOGY INFORMATION,19,19,/mnt/data/dsr_extracted/dsr_sections/2.1_RELEVANT_TOXICOLOGY_INFORMATION.md
2.2,ANALYSIS OF COMPANY SPONSORED CLINICAL TRIALS,2.2 ANALYSIS OF COMPANY SPONSORED CLINICAL TRIALS,19,19,/mnt/data/dsr_extracted/dsr_sections/2.2_ANALYSIS_OF_COMPANY_SPONSORED_CLINICAL_TRIALS.md
1,Nonrandomized,1 Nonrandomized,19,19,/mnt/data/dsr_extracted/dsr_sections/1_Nonrandomized.md
2,Open label,2 Open label,19,19,/mnt/data/dsr_extracted/dsr_sections/2_Open_label.md
3,Single Group,3 Single Group,19,19,/mnt/data/dsr_extracted/dsr_sections/3_Single_Group.md
4,Non-Controlled,4 Non-Controlled,19,19,/mnt/data/dsr_extracted/dsr_sections/4_Non-Controlled.md
3,Non-Controlled,3 Non-Controlled,19,19,/mnt/data/dsr_extracted/dsr_sections/3_Non-Controlled.md
1,Randomized,1 Randomized,19,19,/mnt/data/dsr_extracted/dsr_sections/1_Randomized.md
3,Parallel,3 Parallel,19,19,/mnt/data/dsr_extracted/dsr_sections/3_Parallel.md
4,Active Controlled,4 Active Controlled,19,19,/mnt/data/dsr_extracted/dsr_sections/4_Active_Controlled.md
1,N/A,1 N/A,19,20,/mnt/data/dsr_extracted/dsr_sections/1_NA.md
2.2.1,Study BO42864 (AcceleRET-Lung),2.2.1 Study BO42864 (AcceleRET-Lung),20,22,/mnt/data/dsr_extracted/dsr_sections/2.2.1_Study_BO42864_AcceleRET-Lung.md
2.2.2,Study BO42863 (ARROW),2.2.2 Study BO42863 (ARROW),22,22,/mnt/data/dsr_extracted/dsr_sections/2.2.2_Study_BO42863_ARROW.md
2.3,ANALYSIS OF COMPANY SAFETY DATABASE,2.3 ANALYSIS OF COMPANY SAFETY DATABASE,22,22,/mnt/data/dsr_extracted/dsr_sections/2.3_ANALYSIS_OF_COMPANY_SAFETY_DATABASE.md
2.3.1,Strategy for Case Analysis,2.3.1 Strategy for Case Analysis,22,23,/mnt/data/dsr_extracted/dsr_sections/2.3.1_Strategy_for_Case_Analysis.md
3,RESULTS,3 RESULTS,23,23,/mnt/data/dsr_extracted/dsr_sections/3_RESULTS.md
3.1,RELEVANT TOXICOLOGY RESULTS,3.1 RELEVANT TOXICOLOGY RESULTS,23,24,/mnt/data/dsr_extracted/dsr_sections/3.1_RELEVANT_TOXICOLOGY_RESULTS.md
